rank_300R,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_basic,CountVectorizer Basic,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_basic__logreg_balanced,completed,1.0,1.0,1.0,1.0,1.0,0.01700139045715332,0.002576589584350586,16.125,100.0,99.42089628219605,100,99.88417925643921,
2,count_basic,CountVectorizer Basic,count,low,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,count_basic__multinomial_nb,completed,1.0,1.0,1.0,1.0,1.0,0.008910417556762695,0.0024204254150390625,22.7548828125,100.0,99.34621431350709,100,99.86924286270143,
3,tfidf_word_1_1,TF-IDF Word Unigram,tfidf_word,low,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_word_1_1__logreg_balanced,completed,1.0,1.0,1.0,1.0,1.0,0.02078843116760254,0.0032165050506591797,18.45703125,100.0,99.31313848495483,100,99.86262769699098,
4,count_basic,CountVectorizer Basic,count,low,complement_nb,Complement Naive Bayes,probabilistic,low,count_basic__complement_nb,completed,1.0,1.0,1.0,1.0,1.0,0.009922504425048828,0.0025177001953125,25.1298828125,100.0,99.28680530548095,100,99.8573610610962,
5,tfidf_word_1_1,TF-IDF Word Unigram,tfidf_word,low,complement_nb,Complement Naive Bayes,probabilistic,low,tfidf_word_1_1__complement_nb,completed,1.0,1.0,1.0,1.0,1.0,0.009793519973754883,0.0030701160430908203,27.4150390625,100.0,99.20873113632203,100,99.84174622726442,
6,count_basic,CountVectorizer Basic,count,low,linear_svc,LinearSVC,margin_based,medium,count_basic__linear_svc,completed,1.0,1.0,1.0,1.0,1.0,0.01793360710144043,0.002595663070678711,15.94921875,100.0,99.41767419815064,85,97.63353483963013,
7,hashing_word,HashingVectorizer Word,hashing,medium,logreg_balanced,Logistic Regression Balanced,linear,low,hashing_word__logreg_balanced,completed,0.9866666666666667,0.9866613311991462,0.9866613311991462,0.9871794871794872,0.9866666666666667,0.022681236267089844,0.002730846405029297,49.5009765625,98.66626650660264,98.7100422668457,85,96.7584550320006,
8,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_char_3_5__logreg_balanced,completed,1.0,1.0,1.0,1.0,1.0,0.6826603412628174,0.0420074462890625,285.81640625,100.0,87.66726305007936,85,95.28345261001587,
9,hashing_word,HashingVectorizer Word,hashing,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,hashing_word__multinomial_nb,completed,0.9466666666666667,0.9465464309018752,0.9465464309018751,0.9501424501424501,0.9466666666666667,0.008216142654418945,0.002608776092529297,97.3369140625,94.6576489843073,97.84743829727174,85,94.38119460082336,
